tanggal_scraping,bandara_asal,bandara_tujuan,tanggal_terbang,kelas,jam_berangkat,jam_tiba,tanggal_tiba,durasi_menit,transit,bagasi_kg,cabin_baggage_kg,meal,entertainment,usb,power,model_pesawat,seat_layout,seat_pitch_inch,seat_type,harga_idr,refundable,reschedulable,visa_required,wifi_status,maskapai_final,selisih_hari,hari_penerbangan,waktu_berangkat_kategori,waktu_tiba_kategori,jarak_km,is_transit,jumlah_fasilitas,harga_idr_log,harga_idr_scaled
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,17:45,14:35,2026-05-22,1250,1,20,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,4726193,False,False,False,no_wifi,OD,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,1,2,15.368630785399812,0.22847451747525224
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,11:35,14:00,2026-05-21,145,0,20,7,True,True,False,False,Boeing 737,3-3,31.0,STANDARD_LEGROOM,2248169,False,True,False,no_wifi,GA,1,3,MORNING,AFTERNOON,1387.7631624242847,0,2,14.625627109912262,-0.8455292322811878
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,09:30,11:55,2026-05-21,145,0,20,7,True,True,False,False,Boeing 737,3-3,31.0,STANDARD_LEGROOM,2312922,False,True,False,no_wifi,GA,1,3,MORNING,MORNING,1387.7631624242847,0,2,14.65402265056001,-0.8044837864265201
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,16:35,19:00,2026-05-21,145,0,20,7,True,True,False,False,Boeing 737,3-3,31.0,STANDARD_LEGROOM,2473383,False,True,False,no_wifi,GA,1,3,AFTERNOON,EVENING,1387.7631624242847,0,2,14.721097811440837,-0.7075273692805989
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:15,21:40,2026-05-21,145,0,20,7,True,True,True,False,Boeing 737,3-3,31.0,STANDARD_LEGROOM,2194615,False,True,False,no_wifi,GA,1,3,EVENING,EVENING,1387.7631624242847,0,3,14.601517646134695,-0.8803792005330038
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,07:05,09:30,2026-05-21,145,0,20,7,True,True,False,False,Boeing 737,3-3,31.0,STANDARD_LEGROOM,2840824,True,True,False,no_wifi,GA,1,3,MORNING,MORNING,1387.7631624242847,0,2,14.859605060910225,-0.5073166432691015
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,13:35,16:00,2026-05-21,145,0,20,7,True,True,False,False,Boeing 737,3-3,31.0,STANDARD_LEGROOM,2461901,False,True,False,no_wifi,GA,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,2,14.716444779897738,-0.7142532758809171
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,06:10,08:35,2026-05-21,145,0,20,7,False,False,False,False,Airbus A320,3-3,29.0,STANDARD_LEGROOM,2007100,True,True,False,no_wifi,IP,1,3,MORNING,MORNING,1387.7631624242847,0,0,14.512201950378739,-1.0094840694841
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,12:25,14:50,2026-05-21,145,0,20,7,False,False,False,False,Airbus A320,3-3,29.0,STANDARD_LEGROOM,2007100,True,True,False,no_wifi,IP,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,0,14.512201950378739,-1.0094840694841
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,20:10,22:30,2026-05-21,140,0,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1833800,True,True,False,no_wifi,QG,1,3,EVENING,EVENING,1387.7631624242847,0,0,14.421901419913526,-1.1400125063198863
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,18:45,21:05,2026-05-21,140,0,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1833800,True,True,False,no_wifi,QG,1,3,EVENING,EVENING,1387.7631624242847,0,0,14.421901419913526,-1.1400125063198863
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,16:10,18:30,2026-05-21,140,0,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,2017500,True,True,False,no_wifi,QG,1,3,AFTERNOON,EVENING,1387.7631624242847,0,0,14.517370174789066,-1.0020134571851331
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,14:20,16:40,2026-05-21,140,0,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1897100,True,True,False,no_wifi,QG,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,0,14.455837489460839,-1.0909582860673517
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,13:00,15:20,2026-05-21,140,0,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1908800,True,True,False,no_wifi,QG,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,0,14.461985854215007,-1.082070891537959
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,11:15,13:35,2026-05-21,140,0,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1912000,True,True,False,no_wifi,QG,1,3,MORNING,AFTERNOON,1387.7631624242847,0,0,14.4636608956059,-1.0796496373851638
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,08:10,10:30,2026-05-21,140,0,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1994700,True,True,False,no_wifi,QG,1,3,MORNING,MORNING,1387.7631624242847,0,0,14.50600472238705,-1.0184420952930586
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,05:50,08:10,2026-05-21,140,0,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1994700,True,True,False,no_wifi,QG,1,3,EARLY_MORNING,MORNING,1387.7631624242847,0,0,14.50600472238705,-1.0184420952930586
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,09:00,20:40,2026-05-21,700,1,30,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,4937800,False,False,False,no_wifi,OD,1,3,MORNING,EVENING,1387.7631624242847,1,2,15.412430648358722,0.2917867440612368
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,10:00,20:40,2026-05-21,640,2,15,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,6157100,False,True,False,no_wifi,OD,1,3,MORNING,EVENING,1387.7631624242847,1,2,15.633116607851704,0.6107859035990855
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,20:05,22:20,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1623600,True,True,False,no_wifi,JT,1,3,EVENING,EVENING,1387.7631624242847,0,0,14.30015707986194,-1.3159926286809605
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,18:05,20:20,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1623600,True,True,False,no_wifi,JT,1,3,EVENING,EVENING,1387.7631624242847,0,0,14.30015707986194,-1.3159926286809605
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,17:00,19:20,2026-05-21,140,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1623600,True,True,False,no_wifi,JT,1,3,AFTERNOON,EVENING,1387.7631624242847,0,0,14.30015707986194,-1.3159926286809605
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,16:05,18:20,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1623600,True,True,False,no_wifi,JT,1,3,AFTERNOON,EVENING,1387.7631624242847,0,0,14.30015707986194,-1.3159926286809605
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,14:05,16:20,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1775600,True,True,False,no_wifi,JT,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,0,14.389649515131767,-1.1866322846805621
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,13:15,15:30,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1853500,True,True,False,no_wifi,JT,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,0,14.432586841092606,-1.1245668459649385
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,10:05,12:20,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1699600,True,True,False,no_wifi,JT,1,3,MORNING,AFTERNOON,1387.7631624242847,0,0,14.345904075596355,-1.2498658427984901
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,09:05,11:20,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1776500,True,True,False,no_wifi,JT,1,3,MORNING,MORNING,1387.7631624242847,0,0,14.390156257347648,-1.1858997943067302
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,08:05,10:20,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1776500,True,True,False,no_wifi,JT,1,3,MORNING,MORNING,1387.7631624242847,0,0,14.390156257347648,-1.1858997943067302
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,05:00,07:15,2026-05-21,135,0,10,7,False,False,False,False,Boeing 737,3-3,29.0,BELOW_AVERAGE_LEGROOM,1775600,True,True,False,no_wifi,JT,1,3,EARLY_MORNING,MORNING,1387.7631624242847,0,0,14.389649515131767,-1.1866322846805621
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:00,21:15,2026-05-21,135,0,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,1923500,True,True,False,no_wifi,ID,1,3,EVENING,EVENING,1387.7631624242847,0,2,14.469657521059977,-1.0709815803673597
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,15:00,17:15,2026-05-21,135,0,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,2013400,True,True,False,no_wifi,ID,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,2,14.515335889949633,-1.0049539938442433
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,07:00,09:15,2026-05-21,135,0,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,2013400,True,True,False,no_wifi,ID,1,3,MORNING,MORNING,1387.7631624242847,0,2,14.515335889949633,-1.0049539938442433
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,08:00,13:45,2026-05-21,345,1,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,3913000,True,True,False,no_wifi,ID,1,3,MORNING,AFTERNOON,1387.7631624242847,1,2,15.179815156750912,-0.044456424687948456
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,08:00,15:00,2026-05-21,420,2,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,4109900,True,True,False,no_wifi,ID,1,3,MORNING,AFTERNOON,1387.7631624242847,1,2,15.228909498591065,0.02650891366458318
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,06:00,13:45,2026-05-21,465,1,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,3913000,True,True,False,no_wifi,ID,1,3,MORNING,AFTERNOON,1387.7631624242847,1,2,15.179815156750912,-0.044456424687948456
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,06:00,15:00,2026-05-21,540,2,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,4109900,True,True,False,no_wifi,ID,1,3,MORNING,AFTERNOON,1387.7631624242847,1,2,15.228909498591065,0.02650891366458318
2026-05-20,HLP,KNO,2026-05-21,ECONOMY,05:25,15:00,2026-05-21,575,2,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,4420400,True,True,False,no_wifi,ID,1,3,EARLY_MORNING,AFTERNOON,1416.2751510962914,1,2,15.30174097392061,0.1317860208779459
2026-05-20,HLP,KNO,2026-05-21,ECONOMY,05:25,13:45,2026-05-21,500,1,20,7,False,True,True,False,Airbus A320,3-3,32.0,ABOVE_AVERAGE_LEGROOM,4275500,True,True,False,no_wifi,ID,1,3,EARLY_MORNING,AFTERNOON,1416.2751510962914,1,2,15.268411846468892,0.08360912883798727
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,05:25,07:40,2026-05-21,135,0,10,7,False,True,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1805500,True,True,False,no_wifi,IU,1,3,EARLY_MORNING,MORNING,1387.7631624242847,0,1,14.406348673562691,-1.162493832389837
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,17:40,19:55,2026-05-21,135,0,10,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,1729600,True,True,False,no_wifi,IU,1,3,AFTERNOON,EVENING,1387.7631624242847,0,0,14.363401304035277,-1.224573788971952
2026-05-20,CGK,BTH,2026-05-21,ECONOMY,05:15,07:00,2026-05-21,375,1,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,2716350,True,True,False,no_wifi,QG,1,3,EARLY_MORNING,MORNING,853.5879801538838,1,0,14.814799993478601,-0.5720818820117998
2026-05-20,CGK,BTH,2026-05-21,ECONOMY,05:15,07:00,2026-05-21,585,1,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,2716350,True,True,False,no_wifi,QG,1,3,EARLY_MORNING,MORNING,853.5879801538838,1,0,14.814799993478601,-0.5720818820117998
2026-05-20,CGK,BTH,2026-05-21,ECONOMY,05:15,07:00,2026-05-21,925,1,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,2766750,True,True,False,no_wifi,QG,1,3,EARLY_MORNING,MORNING,853.5879801538838,1,0,14.833184265561863,-0.5455076162236667
2026-05-20,CGK,BTH,2026-05-21,ECONOMY,05:15,07:00,2026-05-21,650,1,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,2796465,True,True,False,no_wifi,QG,1,3,EARLY_MORNING,MORNING,853.5879801538838,1,0,14.843867035115158,-0.5300657887650151
2026-05-20,CGK,BTH,2026-05-21,ECONOMY,15:25,17:05,2026-05-21,315,1,10,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,2859360,True,True,False,no_wifi,IU,1,3,AFTERNOON,AFTERNOON,853.5879801538838,1,0,14.866108731259173,-0.49791565835827084
2026-05-20,CGK,BTH,2026-05-21,ECONOMY,14:30,16:05,2026-05-21,370,1,15,7,False,False,False,False,Airbus A320,3-3,28.0,BELOW_AVERAGE_LEGROOM,2895165,True,True,False,no_wifi,QG,1,3,AFTERNOON,AFTERNOON,853.5879801538838,1,0,14.87855300758714,-0.4799275919729036
2026-05-20,CGK,BTH,2026-05-21,ECONOMY,15:00,16:40,2026-05-21,340,1,20,7,True,True,False,False,Boeing 737,3-3,31.0,ABOVE_AVERAGE_LEGROOM,3397482,True,True,False,no_wifi,GA,1,3,AFTERNOON,AFTERNOON,853.5879801538838,1,2,15.038545421315742,-0.24866029418417018
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:50,08:30,2026-05-22,760,1,40,7,True,True,True,True,Boeing 737,2-2,39.0,CRADLE_RECLINER,9577200,True,True,False,no_wifi,MH,1,3,EVENING,MORNING,1387.7631624242847,1,4,16.074895936066746,1.2493731282941611
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:50,15:00,2026-05-22,1150,1,40,7,True,True,True,True,Boeing 737,2-2,39.0,CRADLE_RECLINER,9577200,True,True,False,no_wifi,MH,1,3,EVENING,AFTERNOON,1387.7631624242847,1,4,16.074895936066746,1.2493731282941611
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,11:10,08:30,2026-05-22,1280,1,50,7,True,True,True,True,Boeing 737,2-2,39.0,CRADLE_RECLINER,13359200,False,False,False,free,MH,1,3,MORNING,MORNING,1387.7631624242847,1,5,16.40771591889514,1.7304608016721081
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,04:15,08:30,2026-05-21,255,1,40,7,True,True,True,True,Boeing 737,2-2,39.0,CRADLE_RECLINER,6549800,False,False,False,no_wifi,MH,1,3,EARLY_MORNING,MORNING,1387.7631624242847,1,4,15.694945225470512,0.7001584993958466
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,04:15,15:00,2026-05-21,645,1,40,7,True,True,True,True,Boeing 737,2-2,39.0,CRADLE_RECLINER,7386800,False,False,False,no_wifi,MH,1,3,EARLY_MORNING,AFTERNOON,1387.7631624242847,1,4,15.815205316930463,0.8739931565249469
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,10:00,20:40,2026-05-21,640,2,40,10,True,True,True,True,Boeing 737,2-2,45.0,CRADLE_RECLINER,12352687,False,True,False,no_wifi,OD,1,3,MORNING,EVENING,1387.7631624242847,1,4,16.3293842491774,1.6172332231593518
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:15,21:40,2026-05-21,145,0,30,7,True,True,False,True,Boeing 737,3-3,31.0,STANDARD_LEGROOM,7460310,False,True,False,no_wifi,GA,1,3,EVENING,EVENING,1387.7631624242847,0,3,15.825107660319023,0.8883068864317488
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,16:35,19:00,2026-05-21,145,0,30,7,True,True,False,True,Boeing 737,2-2,41.0,CRADLE_RECLINER,8414811,False,True,False,no_wifi,GA,1,3,AFTERNOON,EVENING,1387.7631624242847,0,3,15.945504044299843,1.0623385529207034
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,13:35,16:00,2026-05-21,145,0,30,7,True,True,False,True,Boeing 737,2-2,41.0,CRADLE_RECLINER,7460310,False,True,False,no_wifi,GA,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,3,15.825107660319023,0.8883068864317488
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,11:35,14:00,2026-05-21,145,0,30,7,True,True,True,True,Boeing 737,2-2,38.0,CRADLE_RECLINER,7460310,False,True,False,no_wifi,GA,1,3,MORNING,AFTERNOON,1387.7631624242847,0,4,15.825107660319023,0.8883068864317488
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,09:30,11:55,2026-05-21,145,0,30,7,True,True,False,True,Boeing 737,2-2,41.0,CRADLE_RECLINER,7460310,False,True,False,no_wifi,GA,1,3,MORNING,MORNING,1387.7631624242847,0,3,15.825107660319023,0.8883068864317488
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,07:05,09:30,2026-05-21,145,0,30,7,True,True,True,True,Boeing 737,2-2,41.0,CRADLE_RECLINER,7460310,False,True,False,no_wifi,GA,1,3,MORNING,MORNING,1387.7631624242847,0,4,15.825107660319023,0.8883068864317488
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:00,21:15,2026-05-21,135,0,30,7,True,True,True,False,Airbus A320,2-2,45.0,RECLINER_SEAT,5117200,True,True,False,no_wifi,ID,1,3,EVENING,EVENING,1387.7631624242847,0,3,15.448118167844369,0.3433726661926985
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,15:00,17:15,2026-05-21,135,0,30,7,True,True,True,False,Airbus A320,2-2,45.0,RECLINER_SEAT,5117200,True,True,False,no_wifi,ID,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,3,15.448118167844369,0.3433726661926985
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,07:00,09:15,2026-05-21,135,0,30,7,True,True,True,False,Airbus A320,2-2,45.0,RECLINER_SEAT,5117200,True,True,False,no_wifi,ID,1,3,MORNING,MORNING,1387.7631624242847,0,3,15.448118167844369,0.3433726661926985
2026-05-20,CGK,KNO,2026-05-21,PREMIUM_ECONOMY,10:00,20:40,2026-05-21,640,2,40,10,True,True,True,True,Boeing 737,2-2,45.0,CRADLE_RECLINER,12352687,False,True,False,no_wifi,OD,1,3,MORNING,EVENING,1387.7631624242847,1,4,16.3293842491774,1.6172332231593518
2026-05-20,CGK,KNO,2026-05-21,PREMIUM_ECONOMY,19:15,21:40,2026-05-21,145,0,30,7,True,True,False,True,Boeing 737,2-2,41.0,CRADLE_RECLINER,7460310,False,True,False,no_wifi,GA,1,3,EVENING,EVENING,1387.7631624242847,0,3,15.825107660319023,0.8883068864317488
2026-05-20,CGK,KNO,2026-05-21,PREMIUM_ECONOMY,16:35,19:00,2026-05-21,145,0,30,7,True,True,False,True,Boeing 737,2-2,41.0,CRADLE_RECLINER,8414811,False,True,False,no_wifi,GA,1,3,AFTERNOON,EVENING,1387.7631624242847,0,3,15.945504044299843,1.0623385529207034
2026-05-20,CGK,KNO,2026-05-21,PREMIUM_ECONOMY,13:35,16:00,2026-05-21,145,0,30,7,True,True,False,True,Boeing 737,2-2,41.0,CRADLE_RECLINER,7460310,False,True,False,no_wifi,GA,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,0,3,15.825107660319023,0.8883068864317488
2026-05-20,CGK,KNO,2026-05-21,PREMIUM_ECONOMY,11:35,14:00,2026-05-21,145,0,30,7,True,True,True,True,Boeing 737,2-2,38.0,CRADLE_RECLINER,7460310,False,True,False,no_wifi,GA,1,3,MORNING,AFTERNOON,1387.7631624242847,0,4,15.825107660319023,0.8883068864317488
2026-05-20,CGK,KNO,2026-05-21,PREMIUM_ECONOMY,09:30,11:55,2026-05-21,145,0,30,7,True,True,False,True,Boeing 737,2-2,41.0,CRADLE_RECLINER,7460310,False,True,False,no_wifi,GA,1,3,MORNING,MORNING,1387.7631624242847,0,3,15.825107660319023,0.8883068864317488
